,t,y_pred,y_true
0,0,10.19339191,10.01806282
1,1,11.13161541,11.18703795
2,2,10.70265296,11.78877368
3,3,11.45020711,14.86186283
4,4,13.35785506,12.58448928
5,5,11.40123159,13.72229529
6,6,14.28870819,13.23295651
7,7,12.90277936,14.51547626
8,8,14.93391538,16.08884118
9,9,15.42591173,14.3488837
10,10,15.2820702,13.89832697
11,11,14.7130178,12.68621166
12,12,13.73383381,11.27875666
13,13,13.12916685,11.89566122
14,14,12.66600969,13.4267396
15,15,13.10931782,11.5084126
16,16,12.19888246,11.8970328
17,17,11.49402335,13.35280849
18,18,12.85437488,12.95340111
19,19,13.38190076,15.81994992
20,20,14.26567405,15.0519365
21,21,14.90880815,13.65186506
22,22,13.52928378,15.52779785
23,23,15.01240227,12.3406217
24,24,13.34913548,14.48817714
25,25,14.48594332,14.59446485
26,26,13.78513541,14.13655168
27,27,13.76849477,15.39867908
28,28,14.36763056,15.25675151
29,29,14.91251664,12.58419658
30,30,13.72683133,14.32153528
31,31,15.02523108,14.30849576
32,32,14.74266758,12.69809856
33,33,14.36121008,14.23081903
34,34,13.71565196,14.56846222
35,35,14.73989063,13.97323971
36,36,13.95100686,12.62001787
37,37,12.62030009,11.60278762
38,38,12.32370112,11.54132107
39,39,11.91883914,13.31245808
40,40,13.01502099,13.41280889
41,41,13.05596573,13.04610144
42,42,12.94171403,12.77645246
43,43,12.6177448,14.19704155
44,44,13.12750202,14.64844285
45,45,14.12917023,14.03371556
46,46,13.9340522,14.49193999
47,47,13.94737545,12.89501836
48,48,13.73177867,12.33113462
49,49,13.48806019,12.25317562
50,50,12.17778841,11.84910618
51,51,12.52882174,11.83135612
52,52,12.17700005,11.12989304
53,53,10.54968419,13.33176114
54,54,12.71278179,13.29613797
55,55,13.0099192,13.21041722
56,56,13.28752421,12.96151527
57,57,13.16414099,13.15157986
58,58,13.21463561,12.60596052
59,59,12.58514966,11.65091154
60,60,12.20709698,13.06630063
61,61,12.67533177,12.25573242
62,62,12.12171306,11.77063006
63,63,11.56147586,10.65466533
64,64,10.90307673,14.19366145
65,65,13.21601277,13.1998526
66,66,12.6967305,12.93844082
67,67,13.69520097,14.99462996
68,68,14.06797667,15.11447018
69,69,14.66909324,14.80023436
70,70,14.57559505,15.43509751
71,71,15.24130786,14.8662092
72,72,14.56124964,15.26404823
73,73,15.0700701,15.35865757
74,74,14.78562503,12.70988821
75,75,14.10064524,13.16011336
76,76,13.87803643,16.10744983
77,77,14.99344963,13.65181576
78,78,14.65284754,12.57304389
79,79,14.1687578,11.65452236
80,80,11.84849779,12.17795843
81,81,12.84483607,11.63401872
82,82,12.40504218,14.43302434
83,83,14.10152439,13.30841709
84,84,12.61288014,15.0901083
85,85,14.47288359,14.05201841
86,86,12.89608918,12.71570341
87,87,13.48218237,13.64843792
88,88,13.80628939,13.33085819
89,89,13.52080237,11.32955226
90,90,12.29390656,13.16616288
91,91,13.05000081,13.32165339
92,92,12.00514535,12.43474384
93,93,12.94522684,13.86035287
94,94,13.48151873,12.55732587
95,95,12.30298205,12.64499451
96,96,13.03962386,12.25173257
97,97,12.50906827,11.26650425
98,98,12.38884603,10.10650455
99,99,11.54421944,11.08071497
100,100,10.88467107,8.649810554
101,101,9.222653538,8.73050095
102,102,9.143748357,8.487256304
103,103,8.237296468,6.461942249
104,104,7.45529555,6.029285743
105,105,7.174068904,6.023432999
106,106,6.322627373,6.956839738
107,107,6.800289548,6.907723778
108,108,6.990671923,6.712384093
109,109,6.254693233,6.879137233
110,110,6.320234883,6.053097086
111,111,5.712167806,6.339690447
112,112,5.998507513,6.282811394
113,113,6.058722075,6.296021916
114,114,6.191003532,5.602663394
115,115,5.330204504,5.555835974
116,116,5.097585614,5.481035862
117,117,5.310240279,4.928293056
118,118,4.866967763,5.235294138
119,119,4.867635879,5.34382377
120,120,5.408951492,5.357497981
121,121,4.967309561,4.34439289
122,122,4.683230834,4.942175805
123,123,4.927892101,5.686560636
124,124,5.230238708,6.173524036
125,125,5.704407565,6.202319118
126,126,5.646540007,7.333268584
127,127,6.482644727,7.42819414
128,128,6.631932437,5.721292617
129,129,6.23419074,7.343906946
130,130,7.130997897,8.233570073
131,131,7.569372792,8.017482018
132,132,7.945472319,18.15318923
133,133,14.45248467,7.200132343
134,134,9.831225664,6.792535719
135,135,9.991469199,7.538094007
136,136,6.17035954,8.468673435
137,137,9.503585896,9.300540546
138,138,10.97822005,10.71596583
139,139,9.398784462,10.07937508
140,140,9.211352152,8.514103496
141,141,8.962571524,10.0721883
142,142,8.16036906,10.14271578
143,143,11.77971746,10.5906524
144,144,11.03721625,10.99234832
145,145,10.65584203,10.39954914
146,146,10.627964,10.18579759
147,147,10.36575183,11.04130504
148,148,10.94344032,12.21261668
149,149,10.93999055,11.16189257
150,150,11.47565945,12.4043442
151,151,10.86539662,14.03232046
152,152,11.56196947,14.44605892
153,153,14.79548291,13.00500239
154,154,13.68195359,13.99853256
155,155,14.70396706,12.96649901
156,156,13.30128697,13.0844922
157,157,13.58195105,16.437576
158,158,14.23825874,13.05723969
159,159,14.05749273,12.02085161
160,160,13.40667245,12.33164627
161,161,12.35028249,13.25558945
162,162,13.57323512,13.48774246
163,163,14.34070485,13.27552172
164,164,13.3015194,14.51154923
165,165,13.56888363,12.20457265
166,166,13.18602524,13.62921676
167,167,13.6269471,15.53005019
168,168,14.69301863,14.20854532
169,169,14.40432303,14.04272585
170,170,14.22850287,13.95346667
171,171,13.5219836,13.07337478
172,172,13.60183927,14.96295466
173,173,15.05670553,15.0379203
174,174,14.13373512,16.62679469
175,175,15.97830327,14.7304284
176,176,14.91356424,14.09186759
177,177,14.59607967,13.12965535
178,178,13.87676027,12.75352054
179,179,14.009037,14.01053074
180,180,14.44973295,12.13362809
181,181,13.01866413,11.94306361
182,182,12.40164456,11.83680168
183,183,11.46994038,13.04280776
184,184,12.47767477,12.61504815
185,185,12.90389699,13.58652851
186,186,13.30658141,12.55243939
187,187,12.56577712,12.39254146
188,188,12.59128963,15.24616336
189,189,14.03650434,14.03170661
190,190,14.09983107,12.91961187
191,191,13.40901296,12.92989782
192,192,12.49775169,13.68742851
193,193,12.90612058,12.72308831
194,194,13.49238241,12.73693218
195,195,13.16488484,13.42836633
196,196,12.66045051,11.51087079
197,197,12.60955543,14.05821315
198,198,13.41362871,15.20695022
199,199,14.13071273,12.55525628
200,200,13.42144703,13.24419202
201,201,13.26222149,13.30306692
202,202,12.75473301,13.10044454
203,203,13.82083128,13.35475504
204,204,13.99310849,13.85567627
205,205,12.66231395,12.98034782
206,206,12.92433945,12.27095146
207,207,13.05724772,14.59193023
208,208,13.747963,16.68885065
209,209,15.13906907,16.62271749
210,210,16.11786655,12.18848552
211,211,13.71851275,11.84033876
212,212,12.79240482,13.25894511
213,213,13.96569929,12.5770953
214,214,13.71379065,15.44019119
215,215,13.76642283,13.52422421
216,216,12.54112252,14.11335285
217,217,14.00233018,13.76292797
218,218,13.87758751,13.70391961
219,219,14.31862069,14.04147731
220,220,14.49412542,13.14656219
221,221,13.49081171,13.24898258
222,222,13.1788906,14.25918528
223,223,14.10232041,11.45242833
224,224,12.46354217,11.54783294
225,225,12.2235429,11.72583829
226,226,11.49365486,11.48745435
227,227,12.37776778,11.80890273
228,228,12.39996087,12.19476936
229,229,11.37718488,11.37285302
230,230,11.12507974,10.90544009
231,231,11.46248823,10.40569458
232,232,11.27295955,9.549574614
233,233,10.77199985,9.556797593
234,234,9.853189602,8.976338591
235,235,8.758383914,8.440380926
236,236,8.67048458,8.393921281
237,237,8.649308048,8.30217679
238,238,8.49674893,7.641064932
239,239,8.15117931,8.136207157
240,240,7.866688857,7.214063049
241,241,7.641355797,12.43121625
242,242,9.991732283,5.346454304
243,243,7.313431259,8.138753535
244,244,7.908195843,5.792663325
245,245,6.044173853,5.844142907
246,246,7.083956652,6.265206548
247,247,6.398897758,7.168080196
248,248,5.812596693,6.01554821
249,249,5.733197136,7.039756696
250,250,6.629846068,6.445377404
251,251,6.124293279,4.772227579
252,252,6.234690265,7.189639196
253,253,6.320697415,7.071389507
254,254,6.315126986,5.171511922
255,255,5.913312762,5.531241125
256,256,5.109605495,5.839357289
257,257,5.282667313,5.049479075
258,258,5.527156323,5.995434526
259,259,5.485946301,6.988644888
260,260,6.216616611,6.239804672
261,261,6.080241405,6.419106524
262,262,6.222457054,6.387949163
263,263,5.883427563,5.408327513
264,264,6.116049804,6.635317618
265,265,6.343139094,7.449654963
266,266,6.986971431,5.502495343
267,267,5.301453609,6.932048111
268,268,6.691278711,6.22723018
269,269,5.920912297,5.813524317
270,270,6.24455588,8.442692986
271,271,7.481956118,9.713939694
272,272,8.382924719,8.448395568
273,273,8.386100543,9.818243313
274,274,8.808982111,10.07927556
275,275,9.010360398,8.46520649
276,276,9.63976049,9.082111046
277,277,9.542262149,9.550908652
278,278,8.868660178,10.30242736
279,279,9.844967652,10.47077464
280,280,10.30152357,10.59635632
281,281,10.09783965,7.586682957
282,282,9.021554543,8.518900874
283,283,9.411092507,8.352281191
284,284,9.092782688,6.921958937
285,285,8.370554945,7.802382403
286,286,7.998021361,7.780076094
287,287,7.213875808,6.843387427
288,288,7.218721708,7.925626248
289,289,8.167057931,7.437376768
290,290,7.618025236,7.3994004
291,291,7.640985564,8.003302972
292,292,7.831357993,8.729777161
293,293,7.856833927,7.778507738
