,y_pred,y_true
0,[0.45813656],0.19508067
1,[0.3510933],0.21029702
2,[0.28826642],0.29667836
3,[0.259091],0.23215806
4,[0.22479214],0.26405406
5,[0.18864915],0.2504236
6,[0.16814448],0.28485233
7,[0.14695391],0.3284354
8,[0.13582632],0.28242218
9,[0.11876845],0.26886457
10,[0.10290696],0.2363064
11,[0.10091706],0.1976498
12,[0.08899961],0.21495521
13,[0.07543205],0.2575781
14,[0.07287864],0.20518184
15,[0.0650162],0.21605438
16,[0.06060193],0.25489974
17,[0.06205432],0.24383843
18,[0.06033163],0.32101262
19,[0.05682847],0.30116117
20,[0.05661894],0.26291183
21,[0.0560497],0.31431818
22,[0.05757329],0.2281056
23,[0.05447701],0.28748763
24,[0.05185755],0.28801078
25,[0.04957582],0.27668792
26,[0.05370543],0.31105047
27,[0.04983565],0.30718675
28,[0.05369492],0.2342835
29,[0.05513426],0.28249502
30,[0.05182037],0.28084296
31,[0.05250045],0.23627001
32,[0.05377619],0.27794608
33,[0.05347476],0.28991112
34,[0.05373417],0.27301297
35,[0.05173813],0.23611766
36,[0.05158782],0.20646974
37,[0.05116406],0.20796946
38,[0.04999085],0.25423756
39,[0.04989494],0.2572868
40,[0.05070687],0.24787754
41,[0.05136218],0.24111697
42,[0.05069902],0.27643967
43,[0.05290813],0.29281467
44,[0.05313581],0.27513844
45,[0.05142846],0.28490514
46,[0.05270851],0.24460316
47,[0.05160404],0.22653303
48,[0.05131109],0.22403672
49,[0.05007537],0.20767814
50,[0.05008332],0.20870444
51,[0.04878412],0.17993718
52,[0.04853893],0.252804
53,[0.05008149],0.2538303
54,[0.05233348],0.25294298
55,[0.05158213],0.24094155
56,[0.05104959],0.2505195
57,[0.05339238],0.23544884
58,[0.05115255],0.20716831
59,[0.0494311],0.24780473
60,[0.05166269],0.22501996
61,[0.04955108],0.212343
62,[0.05213561],0.17942736
63,[0.05319416],0.27994895
64,[0.05423356],0.25151607
65,[0.05257696],0.24288493
66,[0.05455499],0.29840994
67,[0.05760662],0.30124065
68,[0.05561925],0.2928644
69,[0.05328738],0.31027907
70,[0.05286255],0.2936425
71,[0.05615223],0.30411446
72,[0.05607802],0.30580965
73,[0.05225401],0.23447895
74,[0.05019855],0.24587467
75,[0.05084238],0.32785273
76,[0.05237275],0.26034936
77,[0.05418259],0.230367
78,[0.05004583],0.2047151
79,[0.04978214],0.22036844
80,[0.05316028],0.20526803
81,[0.050129],0.2810748
82,[0.04866382],0.24940398
83,[0.05132928],0.29882386
84,[0.04842814],0.27166554
85,[0.05290283],0.23429686
86,[0.05161809],0.25983953
87,[0.0512195],0.25251934
88,[0.04957099],0.19806376
89,[0.05055525],0.24609983
90,[0.05334422],0.25054622
91,[0.05105547],0.22841692
92,[0.04971487],0.26330268
93,[0.04990773],0.23007566
94,[0.05271704],0.2329064
95,[0.05570865],0.22045463
96,[0.0554515],0.19395846
97,[0.05514111],0.16437003
98,[0.05577544],0.18962136
99,[0.05809009],0.12424346
100,[0.05510413],0.12729266
