,y_pred,y_true
0,[0.4434455],0.28316715
1,[0.427391],0.29819566
2,[0.36947042],0.4248065
3,[0.36920053],0.31516743
4,[0.31992257],0.3738303
5,[0.320748],0.35699376
6,[0.30194956],0.37558404
7,[0.30603603],0.4315568
8,[0.28783813],0.39683893
9,[0.28811967],0.37357935
10,[0.2889281],0.34179315
11,[0.26944512],0.29903647
12,[0.25639933],0.32074556
13,[0.25561947],0.40270594
14,[0.27962255],0.31186184
15,[0.25829288],0.34754044
16,[0.28020635],0.361675
17,[0.28539917],0.3554884
18,[0.28910452],0.4386736
19,[0.2859514],0.4151835
20,[0.29160836],0.37585995
21,[0.2940246],0.4441931
22,[0.3051948],0.35188076
23,[0.30382067],0.4289113
24,[0.3046783],0.39187744
25,[0.3055853],0.401598
26,[0.29973784],0.4566721
27,[0.31197685],0.49521002
28,[0.3385436],0.37605014
29,[0.31677374],0.44782957
30,[0.3261518],0.45654473
31,[0.33515367],0.37632123
32,[0.32955635],0.43043348
33,[0.32042408],0.48285392
34,[0.34084582],0.43935075
35,[0.34578368],0.45827553
36,[0.344382],0.46139792
37,[0.35462242],0.42676893
38,[0.34589282],0.40420994
39,[0.3270678],0.4336175
40,[0.34059814],0.4100167
41,[0.33327752],0.41548404
42,[0.3262476],0.4341317
43,[0.3391694],0.4885716
44,[0.34779426],0.47587618
45,[0.34287325],0.5208118
46,[0.365341],0.41853198
47,[0.3493609],0.3677056
48,[0.342359],0.35324237
49,[0.33353907],0.34285322
50,[0.31750467],0.35519344
51,[0.32084754],0.2956419
52,[0.3015771],0.37886766
53,[0.29967234],0.42078462
54,[0.31269494],0.4299104
55,[0.32541892],0.3589538
56,[0.33183864],0.40728423
57,[0.33448675],0.4255146
58,[0.33040613],0.3182222
59,[0.31343102],0.37990376
60,[0.32850093],0.36396047
61,[0.32732525],0.3554484
62,[0.3274522],0.2918886
63,[0.30511034],0.4451786
64,[0.32293358],0.4137512
65,[0.33601683],0.38804945
66,[0.3377651],0.46060678
67,[0.3491853],0.44578055
68,[0.34382913],0.41412625
69,[0.353988],0.44620857
70,[0.34967527],0.42159435
71,[0.34914252],0.45084426
