,y_pred,y_true
0,[0.2711239],0.19009882
1,[0.22499962],0.20777121
2,[0.20607659],0.2857958
3,[0.16893907],0.2286874
4,[0.13892783],0.25769794
5,[0.12522526],0.24509841
6,[0.11356758],0.27994815
7,[0.10855927],0.3208016
8,[0.10027723],0.2725414
9,[0.09524779],0.26236132
10,[0.09154224],0.22945204
11,[0.08055241],0.19244018
12,[0.07088529],0.20815274
13,[0.06345674],0.24761033
14,[0.06192948],0.19675264
15,[0.05845437],0.20669171
16,[0.0556868],0.24657983
17,[0.05825883],0.23620543
18,[0.05761194],0.31378347
19,[0.05961822],0.29183462
20,[0.0608681],0.25472856
21,[0.06218514],0.30422536
22,[0.06149735],0.21854329
23,[0.06157902],0.274456
24,[0.06092857],0.28063044
25,[0.06167955],0.26682013
26,[0.06085813],0.30043697
27,[0.06219306],0.29665616
28,[0.06340332],0.22567064
29,[0.06256306],0.2706601
30,[0.0643984],0.2721421
31,[0.06522182],0.23027647
32,[0.0643368],0.2711762
33,[0.06410929],0.27625924
34,[0.06531873],0.26138237
35,[0.06928237],0.22541344
36,[0.06527241],0.20107377
37,[0.06462731],0.19496119
38,[0.05848537],0.24488959
39,[0.06020216],0.24711522
40,[0.06222774],0.23653743
41,[0.06022741],0.2285361
42,[0.06216691],0.27110413
43,[0.06355637],0.27736557
44,[0.06420553],0.26231766
45,[0.06563042],0.27834302
46,[0.06520595],0.23133
47,[0.0649729],0.22014418
48,[0.06367851],0.21859494
49,[0.06343938],0.21538854
50,[0.06114646],0.21278667
51,[0.06174969],0.20774058
52,[0.06061928],0.2481668
53,[0.06244401],0.24440262
54,[0.06431517],0.24007934
55,[0.06359521],0.24081883
56,[0.06912356],0.23967093
57,[0.0652896],0.22544253
58,[0.06692853],0.20321819
59,[0.0620974],0.23795378
60,[0.06321842],0.2173745
61,[0.06394403],0.2037057
62,[0.06209411],0.17755368
63,[0.05985435],0.26593488
64,[0.06427385],0.24140474
65,[0.06728409],0.2365773
66,[0.06292851],0.29198802
67,[0.06659971],0.2957893
68,[0.06868114],0.28716698
69,[0.06738678],0.30389336
70,[0.06924945],0.2903602
71,[0.0714904],0.30146378
72,[0.07112147],0.3052258
73,[0.07185932],0.23356926
74,[0.07248428],0.24677688
75,[0.07046667],0.32283357
76,[0.07356644],0.2583394
77,[0.07402389],0.23046914
78,[0.06731957],0.206913
79,[0.06658629],0.21887696
80,[0.06386153],0.20479974
81,[0.0630597],0.27991372
82,[0.06417108],0.251444
83,[0.0626946],0.29761356
84,[0.06757324],0.26840603
85,[0.06716829],0.23420423
86,[0.06624101],0.25883877
87,[0.06397057],0.24850956
88,[0.06537808],0.19515982
89,[0.06298572],0.24685273
90,[0.05892459],0.2506938
91,[0.06285741],0.22422525
92,[0.06278797],0.26773608
93,[0.06163277],0.22985783
94,[0.06090044],0.23156685
95,[0.05769207],0.22355321
96,[0.05878329],0.19684958
97,[0.05718904],0.16314119
98,[0.05198751],0.19088396
99,[0.05241954],0.12500036
100,[0.05405995],0.12594742
101,[0.0540924],0.12054582
102,[0.0551617],0.06610641
103,[0.05791598],0.053364247
104,[0.05602482],0.054020226
105,[0.05006824],0.07978648
106,[0.04606363],0.07721801
107,[0.047414],0.07311541
108,[0.04856602],0.077791676
109,[0.05982996],0.0537221
110,[0.07524359],0.062199637
111,[0.07322343],0.06161043
112,[0.06911776],0.05983135
113,[0.08039521],0.042102486
114,[0.07266639],0.041079
115,[0.0809631],0.03818497
116,[0.06596935],0.024520516
117,[0.06159808],0.032826394
118,[0.05082336],0.034650058
119,[0.04355656],0.035590693
120,[0.04493291],0.009301439
121,[0.04490563],0.023873135
122,[0.03998882],0.042847216
123,[0.05501094],0.05880359
124,[0.04259867],0.056641906
125,[0.0548277],0.08820425
126,[0.05360416],0.0903433
127,[0.05621137],0.044634312
128,[0.05798731],0.08905019
129,[0.06935674],0.11503011
130,[0.08822184],0.10693997
131,[0.08465043],0.3813653
132,[0.11135506],0.08633055
133,[0.13897526],0.07392472
134,[0.11566809],0.09545922
135,[0.12848839],0.11954273
136,[0.13113628],0.14192745
137,[0.13627139],0.18012533
138,[0.14675754],0.16210532
139,[0.15785289],0.12099837
140,[0.19854194],0.16293135
141,[0.18189691],0.16343233
142,[0.18819724],0.17509496
143,[0.23506641],0.18701434
144,[0.2533986],0.1699231
145,[0.27073807],0.16452038
146,[0.2673409],0.18755999
147,[0.28625995],0.21849272
148,[0.2941019],0.18991101
149,[0.2932069],0.22365382
150,[0.29487693],0.26841837
151,[0.3007958],0.2822697
152,[0.30253133],0.24105072
153,[0.27900067],0.26591286
154,[0.2623716],0.23829931
155,[0.25038224],0.24316177
156,[0.23504955],0.32701683
157,[0.2294229],0.24356538
158,[0.21322282],0.21462259
159,[0.180173],0.22400635
160,[0.16285823],0.24673381
161,[0.14230607],0.2510032
162,[0.12732203],0.2461623
163,[0.11241779],0.27787632
164,[0.10483772],0.21513537
165,[0.09588584],0.25449774
166,[0.08812768],0.30230802
167,[0.08479437],0.2728983
168,[0.07979066],0.26507017
169,[0.07471637],0.26397672
170,[0.0754339],0.24100065
171,[0.0716738],0.2951625
172,[0.07048308],0.29148805
173,[0.07147183],0.33454087
174,[0.07159875],0.28418687
175,[0.06967481],0.26866752
176,[0.06938335],0.24262953
177,[0.06598704],0.23247522
178,[0.06231572],0.26761764
179,[0.06542821],0.21781042
180,[0.06463117],0.2127763
181,[0.06280103],0.20763075
182,[0.0614221],0.24164155
183,[0.06224695],0.23128167
184,[0.06318221],0.25487334
185,[0.06423956],0.22990894
186,[0.06478077],0.22743419
187,[0.06408426],0.30262128
188,[0.06415089],0.27086258
189,[0.07017817],0.23845321
190,[0.067559],0.23745981
191,[0.06564261],0.25967017
192,[0.06733736],0.22935674
193,[0.06610348],0.23475364
194,[0.06567032],0.25045705
195,[0.06737686],0.20275387
196,[0.06496301],0.26715595
197,[0.06594069],0.30002916
198,[0.07113625],0.22915825
199,[0.06897354],0.24965799
200,[0.0679379],0.24877542
201,[0.06888171],0.24321395
202,[0.06784008],0.24871889
203,[0.07055525],0.2614459
204,[0.07118242],0.23985821
205,[0.07001759],0.22222567
206,[0.06871074],0.28196445
207,[0.07344671],0.33242705
208,[0.07293131],0.33763295
209,[0.07774374],0.2188425
210,[0.07693765],0.20915419
211,[0.07133816],0.24612087
212,[0.0702133],0.22634816
213,[0.06842423],0.30700752
214,[0.0743349],0.2541975
215,[0.07380119],0.26877138
216,[0.07091609],0.2599715
217,[0.06911465],0.25986013
218,[0.0708498],0.2650917
219,[0.07039163],0.24439672
220,[0.06800342],0.2473219
221,[0.06802322],0.2745104
222,[0.07348263],0.19905582
223,[0.06845887],0.20251003
224,[0.06405398],0.20558801
225,[0.06146369],0.1991064
226,[0.05888708],0.20793155
227,[0.05826138],0.21835923
228,[0.05901654],0.19709334
229,[0.05819674],0.1767819
230,[0.05558849],0.17228386
231,[0.05329584],0.14693516
232,[0.05362174],0.14957145
233,[0.05816181],0.13359089
234,[0.06013553],0.11837986
235,[0.05959926],0.117791176
236,[0.06562483],0.11442092
237,[0.06960432],0.09620233
238,[0.06069531],0.11175671
239,[0.06009056],0.08682564
240,[0.0621252],0.2147134
241,[0.0678868],0.035600945
242,[0.06340846],0.10810284
243,[0.06551034],0.045969963
244,[0.07296009],0.047501445
245,[0.07738725],0.05768265
246,[0.07167685],0.081883505
247,[0.07790617],0.052685693
248,[0.07186297],0.07778731
249,[0.07373951],0.06374511
250,[0.07713336],0.017079353
251,[0.08129995],0.08415869
252,[0.07929994],0.079741806
253,[0.07908589],0.028893247
254,[0.06277273],0.03870909
255,[0.08514135],0.045999512
256,[0.05874264],0.025831893
257,[0.06802071],0.051120818
258,[0.06821609],0.07669063
259,[0.0588113],0.05794041
260,[0.07545318],0.062139347
261,[0.06572507],0.06058471
262,[0.09641775],0.03610407
263,[0.06308266],0.06878999
264,[0.06773525],0.08466497
265,[0.10009915],0.037259936
266,[0.06918527],0.07668474
267,[0.06923364],0.057388842
268,[0.08491781],0.046084583
269,[0.08640149],0.11528513
270,[0.059529],0.14686623
271,[0.06332125],0.11979304
272,[0.07502249],0.15219262
273,[0.0732953],0.15890509
274,[0.11763494],0.11927533
275,[0.14422639],0.13498786
276,[0.12957978],0.14676514
277,[0.17124838],0.16760871
278,[0.14761226],0.17258465
279,[0.16484739],0.1748496
280,[0.17370121],0.09557007
281,[0.1638067],0.12018044
282,[0.19136778],0.11649813
283,[0.16551575],0.078409985
284,[0.18403915],0.09835854
285,[0.19351174],0.09753361
286,[0.1872361],0.07455166
287,[0.19635819],0.102689356
288,[0.17269674],0.08804548
289,[0.16965443],0.08775169
290,[0.15495746],0.103655264
291,[0.13065673],0.122757986
292,[0.16475333],0.0982628
293,[0.14658092],0.1273928
294,[0.15598205],0.12525915
295,[0.16895722],0.079713285
296,[0.16194822],0.11729932
297,[0.1552761],0.13258621
298,[0.1783794],0.103014395
299,[0.18009746],0.0924796
300,[0.16708294],0.10464819
301,[0.15660723],0.09997995
302,[0.14826654],0.10428436
303,[0.16254976],0.09824024
304,[0.15982419],0.12615135
305,[0.15533826],0.12882207
306,[0.16786559],0.090436384
307,[0.16797353],0.09170739
308,[0.17581466],0.10419983
309,[0.17832027],0.1198758
310,[0.1713465],0.13847052
311,[0.18264705],0.12913847
312,[0.17806236],0.17920941
313,[0.1766762],0.15396407
314,[0.21442565],0.15786222
315,[0.20377904],0.16334024
316,[0.24975348],0.13675882
317,[0.25196832],0.15617743
318,[0.2703224],0.12103443
319,[0.2692304],0.137856
320,[0.28232393],0.14207596
321,[0.27949077],0.17490178
322,[0.28353658],0.15788484
323,[0.28479695],0.16022584
324,[0.29128918],0.1291078
325,[0.29403612],0.1611157
326,[0.2858175],0.17259607
327,[0.3097289],0.14425159
328,[0.31208718],0.19728178
329,[0.3349058],0.21327183
330,[0.3351254],0.22190917
331,[0.34228754],0.1506342
332,[0.32161945],0.18509862
333,[0.29225177],0.18542367
334,[0.2866223],0.17515737
335,[0.28077248],0.21667275
336,[0.2780287],0.15875229
337,[0.26794833],0.2023206
338,[0.26678216],0.17405164
339,[0.25448707],0.20526195
340,[0.24325247],0.21707585
341,[0.2385674],0.21650434
342,[0.23929045],0.23855057
343,[0.22084232],0.22181821
344,[0.20915653],0.27205545
345,[0.19234006],0.26146045
346,[0.17995961],0.24023971
347,[0.16646472],0.27803457
348,[0.14644219],0.2753477
349,[0.13189356],0.28854397
350,[0.12357248],0.3263367
351,[0.11611379],0.26673618
352,[0.10851669],0.32158294
353,[0.10387879],0.3374483
354,[0.09963414],0.26701066
355,[0.09825001],0.27150235
356,[0.09222079],0.27806744
357,[0.08724183],0.24588728
358,[0.08061295],0.231646
359,[0.08034098],0.28610855
360,[0.07698533],0.2269471
361,[0.07726204],0.24676508
362,[0.07458286],0.40910703
363,[0.08133998],0.28874484
364,[0.08052483],0.4137957
365,[0.08766918],0.20796713
366,[0.0822504],0.21165323
367,[0.07823663],0.1938813
368,[0.07098488],0.17417806
369,[0.06747527],0.1958535
370,[0.0622175],0.1758807
371,[0.05899155],0.21874893
372,[0.06019305],0.16324297
373,[0.05786152],0.15008593
374,[0.05304269],0.12400326
375,[0.0501514],0.13082924
376,[0.05279782],0.12131804
377,[0.05669627],0.124730214
378,[0.06066606],0.115184516
379,[0.06152073],0.104906455
380,[0.05827832],0.10504849
381,[0.05848417],0.11478199
382,[0.05843641],0.09698856
383,[0.06976422],0.10871039
384,[0.06803211],0.1421847
385,[0.06719214],0.115783975
386,[0.07577734],0.09392449
387,[0.09937418],0.096185684
388,[0.09057259],0.077385396
389,[0.11545774],0.05216591
390,[0.1105857],0.10157439
391,[0.12387525],0.13007481
392,[0.11663566],0.116333485
393,[0.10672036],0.12720609
394,[0.1203789],0.0656932
395,[0.11067376],0.040432796
396,[0.10633664],0.042467922
397,[0.10293752],0.047690928
398,[0.10231689],0.055455446
399,[0.10183115],0.03322035
400,[0.0911246],0.07252781
401,[0.07706591],0.06865445
402,[0.06973731],0.055589452
403,[0.0777334],0.034533888
404,[0.06542402],0.037032917
405,[0.05292522],0.044231355
406,[0.0577798],0.040060356
407,[0.04264461],0.052812755
408,[0.04551188],0.03154464
409,[0.05895955],0.040021658
410,[0.04103166],0.096463904
411,[0.05120876],0.07677679
412,[0.0574146],0.081463814
413,[0.05081795],0.102230966
414,[0.06143611],0.11297825
415,[0.0645377],0.13706934
416,[0.066369],0.16396073
417,[0.08492503],0.1639742
418,[0.09735465],0.16073796
419,[0.12208991],0.15960738
420,[0.12225771],0.12101458
421,[0.13619411],0.12967123
422,[0.1364423],0.13697465
423,[0.15651654],0.16223127
424,[0.1504621],0.11646472
425,[0.1685121],0.10280183
426,[0.1524208],0.11574307
427,[0.16672179],0.11475511
428,[0.17047025],0.13194694
429,[0.17720914],0.17243716
430,[0.18472944],0.13241829
431,[0.19769058],0.14282769
432,[0.20635524],0.14812982
433,[0.22072943],0.23243952
434,[0.23532559],0.14684635
435,[0.24669248],0.122678876
436,[0.25595403],0.10166423
437,[0.255354],0.09478444
438,[0.24123515],0.12893556
439,[0.23479],0.09619053
440,[0.25294703],0.121203944
441,[0.2435845],0.14516583
442,[0.24890405],0.12202938
443,[0.24850506],0.095546916
444,[0.23825346],0.11644748
445,[0.25202814],0.115566015
446,[0.23083605],0.16371751
447,[0.21666251],0.15844339
448,[0.22528176],0.21698427
449,[0.25063798],0.19783694
450,[0.2830727],0.13236988
451,[0.27765143],0.16366369
452,[0.28999534],0.1712684
453,[0.3119903],0.22309357
454,[0.32502633],0.15877384
455,[0.31923097],0.1895698
456,[0.31966648],0.15981132
457,[0.30585045],0.1415303
458,[0.30533478],0.15640444
459,[0.29508403],0.15785205
460,[0.2914939],0.14480796
461,[0.28467748],0.18254527
462,[0.29242194],0.16033974
463,[0.29786387],0.13831507
464,[0.28763875],0.18728822
465,[0.28693798],0.17455307
466,[0.27147794],0.15614668
467,[0.2695392],0.15506187
468,[0.25703853],0.1736722
469,[0.26456538],0.14720103
470,[0.24993344],0.13853191
471,[0.24456102],0.16217637
472,[0.25219947],0.1870918
473,[0.25482547],0.22334227
474,[0.26150703],0.2661814
475,[0.26557577],0.18105197
476,[0.25867823],0.22071785
477,[0.25307357],0.2241408
478,[0.2469804],0.20734933
479,[0.2242131],0.19625002
480,[0.21258691],0.17813161
481,[0.19252144],0.17029119
482,[0.17718206],0.20656857
483,[0.16612193],0.21678042
484,[0.16008416],0.21726099
485,[0.14801],0.21171993
486,[0.14025912],0.21396497
487,[0.13144691],0.24489444
488,[0.11836699],0.22428983
489,[0.11294951],0.3287534
490,[0.10944984],0.22059411
491,[0.10555838],0.24787569
492,[0.09179323],0.25114688
493,[0.09192333],0.24021283
494,[0.08732697],0.24399045
495,[0.08633999],0.2963311
496,[0.08390692],0.26774624
497,[0.08349825],0.25940007
498,[0.07949745],0.30716634
499,[0.08263359],0.27733126
500,[0.08643543],0.26776028
501,[0.08547323],0.39786786
502,[0.09229498],0.2768362
503,[0.08958249],0.23080811
504,[0.08411378],0.23012042
505,[0.08216751],0.22454923
506,[0.07864997],0.20227757
