,y_pred,y_true
0,[0.28203946],0.19508067
1,[0.25318873],0.21029702
2,[0.21885163],0.29667836
3,[0.19336511],0.23215806
4,[0.16531354],0.26405406
5,[0.14753789],0.2504236
6,[0.1337616],0.28485233
7,[0.1193305],0.3284354
8,[0.10974339],0.28242218
9,[0.09851488],0.26886457
10,[0.09217267],0.2363064
11,[0.0832863],0.1976498
12,[0.07782956],0.21495521
13,[0.07366763],0.2575781
14,[0.06938833],0.20518184
15,[0.06524814],0.21605438
16,[0.06615888],0.25489974
17,[0.06523937],0.24383843
18,[0.06408771],0.32101262
19,[0.06581937],0.30116117
20,[0.06621863],0.26291183
21,[0.06333742],0.31431818
22,[0.06254828],0.2281056
23,[0.05872006],0.28748763
24,[0.06117302],0.28801078
25,[0.06356072],0.27668792
26,[0.06337425],0.31105047
27,[0.0625822],0.30718675
28,[0.05984674],0.2342835
29,[0.05929785],0.28249502
30,[0.05925225],0.28084296
31,[0.05796196],0.23627001
32,[0.0578903],0.27794608
33,[0.05746219],0.28991112
34,[0.06026497],0.27301297
35,[0.05981876],0.23611766
36,[0.05777676],0.20646974
37,[0.05364653],0.20796946
38,[0.05292576],0.25423756
39,[0.0557593],0.2572868
40,[0.05498067],0.24787754
41,[0.05649839],0.24111697
42,[0.05706646],0.27643967
43,[0.05825603],0.29281467
44,[0.06092814],0.27513844
45,[0.05926339],0.28490514
46,[0.06018273],0.24460316
47,[0.05755502],0.22653303
48,[0.05700295],0.22403672
49,[0.05393088],0.20767814
50,[0.05443408],0.20870444
51,[0.05182386],0.17993718
52,[0.05227746],0.252804
53,[0.05457566],0.2538303
54,[0.05505372],0.25294298
55,[0.0579512],0.24094155
56,[0.05632092],0.2505195
57,[0.0601955],0.23544884
58,[0.05715754],0.20716831
59,[0.05606299],0.24780473
60,[0.05411194],0.22501996
61,[0.05085369],0.212343
62,[0.05305332],0.17942736
63,[0.05262427],0.27994895
64,[0.05527063],0.25151607
65,[0.05609064],0.24288493
66,[0.05822494],0.29840994
67,[0.05843779],0.30124065
68,[0.05981518],0.2928644
69,[0.06149664],0.31027907
70,[0.05708409],0.2936425
71,[0.05905178],0.30411446
72,[0.05557117],0.30580965
73,[0.0554877],0.23447895
74,[0.05157623],0.24587467
75,[0.05312712],0.32785273
76,[0.054096],0.26034936
77,[0.05130969],0.230367
78,[0.05181582],0.2047151
79,[0.05051254],0.22036844
