,y_pred,y_true
0,[0.4572677],0.19508067
1,[0.28793964],0.21029702
2,[0.20291297],0.29667836
3,[0.15497765],0.23215806
4,[0.12639697],0.26405406
5,[0.1121503],0.2504236
6,[0.09982463],0.28485233
7,[0.08269481],0.3284354
8,[0.0746697],0.28242218
9,[0.07056741],0.26886457
10,[0.06160108],0.2363064
11,[0.05586406],0.1976498
12,[0.05162268],0.21495521
13,[0.04974532],0.2575781
14,[0.04678041],0.20518184
15,[0.0432224],0.21605438
16,[0.04061897],0.25489974
17,[0.04055009],0.24383843
18,[0.03973955],0.32101262
19,[0.04251321],0.30116117
20,[0.04232037],0.26291183
21,[0.04112835],0.31431818
22,[0.0416493],0.2281056
23,[0.04076929],0.28748763
24,[0.04134854],0.28801078
25,[0.04056509],0.27668792
26,[0.04111494],0.31105047
27,[0.04071497],0.30718675
28,[0.04301826],0.2342835
29,[0.04028967],0.28249502
30,[0.04077707],0.28084296
31,[0.04130901],0.23627001
32,[0.03924699],0.27794608
33,[0.04014107],0.28991112
34,[0.04103176],0.27301297
35,[0.04131915],0.23611766
36,[0.03992283],0.20646974
37,[0.03978528],0.20796946
38,[0.04064017],0.25423756
39,[0.04023458],0.2572868
40,[0.04197123],0.24787754
41,[0.04231011],0.24111697
42,[0.04113026],0.27643967
43,[0.04263594],0.29281467
44,[0.04217979],0.27513844
45,[0.04341747],0.28490514
46,[0.04138339],0.24460316
47,[0.04104915],0.22653303
48,[0.04086722],0.22403672
49,[0.03992137],0.20767814
50,[0.03949428],0.20870444
51,[0.03963543],0.17993718
52,[0.04162066],0.252804
53,[0.04172734],0.2538303
54,[0.04486959],0.25294298
55,[0.04674952],0.24094155
56,[0.04593937],0.2505195
57,[0.04548643],0.23544884
58,[0.04571034],0.20716831
59,[0.04652928],0.24780473
60,[0.04713846],0.22501996
61,[0.04446878],0.212343
62,[0.04430345],0.17942736
63,[0.04318348],0.27994895
64,[0.0469276],0.25151607
65,[0.04856376],0.24288493
66,[0.04677473],0.29840994
67,[0.04801381],0.30124065
68,[0.04794437],0.2928644
69,[0.04639613],0.31027907
70,[0.04600869],0.2936425
71,[0.04558081],0.30411446
72,[0.04425658],0.30580965
73,[0.0432237],0.23447895
74,[0.0415986],0.24587467
75,[0.04056355],0.32785273
76,[0.0420335],0.26034936
77,[0.04115342],0.230367
78,[0.03948996],0.2047151
79,[0.03827772],0.22036844
80,[0.03780938],0.20526803
81,[0.03919037],0.2810748
82,[0.04007845],0.24940398
83,[0.04103888],0.29882386
84,[0.04178663],0.27166554
85,[0.04132253],0.23429686
86,[0.04272383],0.25983953
87,[0.041701],0.25251934
88,[0.04307978],0.19806376
89,[0.04216869],0.24609983
90,[0.04218609],0.25054622
91,[0.04137136],0.22841692
92,[0.04307129],0.26330268
93,[0.0462441],0.23007566
94,[0.04699765],0.2329064
95,[0.04731333],0.22045463
96,[0.04835457],0.19395846
97,[0.04699263],0.16437003
98,[0.04783858],0.18962136
99,[0.05102174],0.12424346
100,[0.05550648],0.12729266
101,[0.06081283],0.11990633
102,[0.0710537],0.06511632
103,[0.08655977],0.054200687
104,[0.09022446],0.0534657
105,[0.09336869],0.07823693
106,[0.10075501],0.07779326
107,[0.10553806],0.07169483
108,[0.10715424],0.07606838
109,[0.10103835],0.055044927
110,[0.09635192],0.06224919
111,[0.08578724],0.060044207
112,[0.07442561],0.061914764
113,[0.06087293],0.04251363
114,[0.07576345],0.04108008
115,[0.06955861],0.039682917
116,[0.06450703],0.023883916
117,[0.06274496],0.032150917
118,[0.03783764],0.03586229
119,[0.02902337],0.03582587
120,[0.03246614],0.0077505037
121,[0.02606925],0.02498307
122,[0.01973544],0.04585419
123,[0.01545766],0.056994997
124,[0.03686403],0.059855454
125,[0.04832762],0.08962598
126,[0.05904171],0.09248645
127,[0.07237896],0.0461886
128,[0.07285134],0.08951674
129,[0.04588046],0.11211943
130,[0.06672473],0.10789155
131,[0.08314406],0.38068298
132,[0.1303994],0.084815465
133,[0.14172602],0.07481689
134,[0.12658292],0.09392669
135,[0.10704794],0.119760685
136,[0.12866588],0.14224744
137,[0.12685536],0.18043062
138,[0.12948364],0.16385353
139,[0.1459026],0.12082339
140,[0.14445475],0.16293645
141,[0.15804298],0.16583332
142,[0.16802587],0.17821896
143,[0.17765948],0.18829036
144,[0.180412],0.173074
145,[0.21080515],0.1670484
146,[0.22524917],0.1901609
147,[0.20832881],0.22223899
148,[0.25758007],0.19405437
149,[0.24074806],0.22742036
150,[0.2713127],0.2707485
151,[0.28845912],0.28000537
152,[0.31808695],0.24278238
153,[0.31931892],0.27096698
154,[0.32118306],0.24295777
155,[0.26280254],0.24495092
156,[0.27519086],0.34010908
157,[0.24956101],0.24340811
158,[0.22032039],0.21614057
159,[0.18770264],0.22381824
160,[0.16522565],0.25030768
161,[0.15612535],0.25798535
162,[0.14347789],0.251632
163,[0.14076391],0.28614026
164,[0.13173933],0.22424856
165,[0.1261265],0.26203117
166,[0.1089315],0.31578147
167,[0.10056254],0.275698
168,[0.09856931],0.27360228
169,[0.08876248],0.27026173
170,[0.08070509],0.24597058
171,[0.0760956],0.29469857
172,[0.0706944],0.30076057
173,[0.06444651],0.34349936
174,[0.0595843],0.2917586
175,[0.05526696],0.27331764
176,[0.05497193],0.2474108
177,[0.0511643],0.2372666
178,[0.04889587],0.2703115
179,[0.04817527],0.21908051
180,[0.04881008],0.21386275
181,[0.04688559],0.21261126
182,[0.04678052],0.24410668
183,[0.04704457],0.23172775
184,[0.04900738],0.25979644
185,[0.0507061],0.22981408
186,[0.05081941],0.22419572
187,[0.05106416],0.30246907
188,[0.05153737],0.26898718
189,[0.0515607],0.24068666
190,[0.04959554],0.24186528
191,[0.04829],0.26104793
192,[0.04852831],0.23807439
193,[0.04814002],0.2348862
194,[0.0471871],0.25563473
195,[0.04777433],0.20104015
196,[0.04754658],0.27283755
197,[0.048525],0.30249885
198,[0.05006965],0.23047626
199,[0.0478656],0.24770883
200,[0.04734034],0.25104937
201,[0.04660622],0.24564949
202,[0.04617466],0.25347283
203,[0.0465366],0.26754692
204,[0.04641659],0.24249104
205,[0.04724995],0.22228208
206,[0.04514044],0.28694806
207,[0.04604395],0.34785956
208,[0.04755336],0.34111902
209,[0.04688409],0.22087824
210,[0.04451223],0.21169418
211,[0.04401144],0.25089702
212,[0.04312251],0.23347571
213,[0.04250782],0.30830595
214,[0.04445748],0.2574027
215,[0.04336544],0.27423468
216,[0.04344591],0.26431563
217,[0.04294173],0.26167366
218,[0.0423188],0.27352944
219,[0.04259652],0.24693742
220,[0.04150367],0.24958605
221,[0.0425079],0.27689
222,[0.04209887],0.20096731
223,[0.04015035],0.20291737
224,[0.04078043],0.20894298
225,[0.04142144],0.20254654
226,[0.04025374],0.21111155
227,[0.04341033],0.22151068
228,[0.04598755],0.19868949
229,[0.04740103],0.19153807
230,[0.04801953],0.17168355
231,[0.04662835],0.15017998
232,[0.05268799],0.14864388
