,y_pred,y_true
0,[0.14551003],0.19508067
1,[0.1298947],0.21029702
2,[0.11763866],0.29667836
3,[0.1178362],0.23215806
4,[0.12191213],0.26405406
5,[0.11301357],0.2504236
6,[0.11166427],0.28485233
7,[0.11329607],0.3284354
8,[0.11325075],0.28242218
9,[0.11409813],0.26886457
10,[0.10565081],0.2363064
11,[0.10513086],0.1976498
12,[0.10220545],0.21495521
13,[0.09736548],0.2575781
14,[0.09796008],0.20518184
15,[0.09773228],0.21605438
16,[0.10413783],0.25489974
17,[0.10310595],0.24383843
18,[0.10163849],0.32101262
19,[0.10438173],0.30116117
20,[0.10465967],0.26291183
21,[0.10645595],0.31431818
22,[0.10628263],0.2281056
23,[0.10826661],0.28748763
24,[0.10503586],0.28801078
25,[0.11425404],0.27668792
26,[0.11241094],0.31105047
27,[0.10965639],0.30718675
28,[0.11062899],0.2342835
29,[0.11119535],0.28249502
30,[0.11552179],0.28084296
31,[0.11257201],0.23627001
32,[0.11547682],0.27794608
33,[0.11314473],0.28991112
34,[0.11383661],0.27301297
35,[0.11522388],0.23611766
36,[0.11312942],0.20646974
37,[0.10973915],0.20796946
38,[0.10692956],0.25423756
39,[0.11754995],0.2572868
40,[0.1145881],0.24787754
41,[0.1116773],0.24111697
42,[0.11179259],0.27643967
43,[0.11086065],0.29281467
44,[0.11849772],0.27513844
45,[0.11800282],0.28490514
46,[0.11559478],0.24460316
47,[0.1177049],0.22653303
48,[0.1161362],0.22403672
49,[0.11326487],0.20767814
50,[0.11684866],0.20870444
51,[0.11309452],0.17993718
52,[0.10865762],0.252804
53,[0.11326756],0.2538303
54,[0.11499164],0.25294298
55,[0.11827463],0.24094155
56,[0.11678148],0.2505195
57,[0.11842656],0.23544884
58,[0.11795335],0.20716831
59,[0.11398576],0.24780473
60,[0.12049291],0.22501996
61,[0.1151474],0.212343
62,[0.11084104],0.17942736
63,[0.10501226],0.27994895
64,[0.11364948],0.25151607
65,[0.11578654],0.24288493
66,[0.11732282],0.29840994
67,[0.12312013],0.30124065
68,[0.1202416],0.2928644
69,[0.12080517],0.31027907
70,[0.12485744],0.2936425
71,[0.12572475],0.30411446
72,[0.12443737],0.30580965
73,[0.12975083],0.23447895
74,[0.12359468],0.24587467
75,[0.12051634],0.32785273
76,[0.12115394],0.26034936
77,[0.12101363],0.230367
78,[0.12161969],0.2047151
79,[0.11778815],0.22036844
80,[0.11945311],0.20526803
81,[0.11545631],0.2810748
82,[0.12121145],0.24940398
83,[0.11952705],0.29882386
84,[0.11999287],0.27166554
85,[0.12147963],0.23429686
86,[0.12142536],0.25983953
87,[0.12231272],0.25251934
88,[0.11947578],0.19806376
89,[0.11720785],0.24609983
90,[0.11836656],0.25054622
91,[0.12021276],0.22841692
92,[0.1185606],0.26330268
93,[0.11917245],0.23007566
94,[0.11915682],0.2329064
95,[0.11837057],0.22045463
96,[0.11332406],0.19395846
