,y_pred,y_true
0,[0.58114],0.19362603
1,[0.4189718],0.20937483
2,[0.3391012],0.29401135
3,[0.28013572],0.23104446
4,[0.22479407],0.262339
5,[0.18079478],0.24892233
6,[0.15631893],0.28345776
7,[0.13854763],0.3264783
8,[0.12464382],0.27996248
9,[0.11609572],0.26712036
10,[0.10911201],0.2344714
11,[0.10138234],0.19614772
12,[0.09745703],0.21312095
13,[0.08927796],0.2550878
14,[0.08747013],0.20299505
15,[0.08570166],0.21367331
16,[0.08405628],0.2527604
17,[0.08541913],0.24184059
18,[0.07859798],0.31913847
19,[0.07833833],0.29882902
20,[0.07815131],0.26080555
21,[0.072194],0.31182855
22,[0.07711451],0.22568764
23,[0.07564062],0.2843567
24,[0.07695504],0.28608835
25,[0.07349735],0.27422822
26,[0.07735622],0.30844796
27,[0.07466985],0.30460012
28,[0.07298175],0.23207156
29,[0.07561763],0.27961755
30,[0.07483032],0.27863473
31,[0.0745784],0.234619
32,[0.07364251],0.27614927
33,[0.07145872],0.2866488
34,[0.07338192],0.27017456
35,[0.07022905],0.23345949
36,[0.06903888],0.20493208
37,[0.06969692],0.20480506
38,[0.07056363],0.25187814
39,[0.06906297],0.25475276
40,[0.07143963],0.2450891
41,[0.07346844],0.23805998
42,[0.07525564],0.27494878
43,[0.07362521],0.2891695
44,[0.07454908],0.27204663
45,[0.07470812],0.2831561
46,[0.0729544],0.24139987
47,[0.07320609],0.2247928
48,[0.07306862],0.22249778
49,[0.07334424],0.20894308
50,[0.07496206],0.2091942
51,[0.07160305],0.1854844
52,[0.07364235],0.25145096
53,[0.0744342],0.25145364
54,[0.06991319],0.24983127
55,[0.07144149],0.24054794
56,[0.0747157],0.24783744
57,[0.0737454],0.23293953
58,[0.07285926],0.20594011
59,[0.07727656],0.24533461
60,[0.07603254],0.22301035
61,[0.07417855],0.21011518
62,[0.07351114],0.17862962
63,[0.074348],0.27660435
64,[0.07537619],0.2489921
65,[0.07814839],0.24116997
66,[0.07407044],0.29669744
67,[0.07394718],0.29973704
68,[0.07028672],0.2913041
69,[0.06831098],0.30858004
70,[0.07179925],0.2925989
71,[0.07365242],0.30321097
72,[0.06933072],0.30534887
73,[0.07449582],0.23391397
74,[0.07325702],0.24570258
75,[0.07213829],0.3264544
76,[0.06881762],0.25956166
77,[0.0695615],0.23001634
78,[0.07045565],0.20480008
79,[0.06943119],0.21967225
80,[0.06880878],0.20478325
81,[0.06817041],0.2804786
82,[0.07083933],0.24947684
83,[0.07077197],0.29822576
84,[0.07299927],0.27061617
85,[0.07039996],0.2339065
86,[0.06974977],0.25926733
87,[0.06789736],0.25130033
88,[0.07145718],0.19705479
89,[0.06696569],0.2458959
90,[0.07130858],0.25021505
91,[0.07097887],0.22714736
92,[0.07069089],0.26389396
93,[0.0720925],0.22965647
94,[0.06830435],0.23224874
95,[0.06936949],0.22073977
96,[0.07102317],0.19418646
97,[0.06895394],0.16370286
98,[0.06656349],0.18949907
99,[0.06756406],0.123981416
100,[0.06946135],0.12658268
101,[0.07542007],0.11961709
102,[0.0795605],0.06487551
103,[0.08027815],0.053564087
104,[0.08669832],0.05312611
105,[0.08805477],0.07812208
106,[0.09487298],0.07722393
107,[0.09906852],0.07154925
108,[0.11530192],0.07598962
109,[0.10905239],0.05430475
110,[0.09885484],0.061784714
111,[0.08651133],0.05992411
112,[0.08962027],0.061015308
113,[0.09799824],0.04196231
114,[0.09807439],0.040615723
115,[0.07392611],0.038897872
116,[0.07184833],0.023547575
117,[0.07542467],0.031826884
118,[0.07819714],0.035136476
119,[0.07797994],0.035308927
120,[0.06383783],0.0076018274
121,[0.05134291],0.024273857
122,[0.04662545],0.044749513
123,[0.05408012],0.056925237
124,[0.06703494],0.05871339
125,[0.08020917],0.0888814
126,[0.05022082],0.09158902
127,[0.05549514],0.04539466
128,[0.05652952],0.08897631
129,[0.06412533],0.11231196
130,[0.07698938],0.10725632
131,[0.07216057],0.3805291
132,[0.1150899],0.08469641
133,[0.10568462],0.07417837
134,[0.11430305],0.09381579
135,[0.12201935],0.11928804
136,[0.16462263],0.14176388
137,[0.15339053],0.17996867
138,[0.18462068],0.16307507
139,[0.20188668],0.1204353
140,[0.22109412],0.16253023
141,[0.24713588],0.16491629
142,[0.25159264],0.17715333
143,[0.2795646],0.18762471
144,[0.2853129],0.17200015
145,[0.3156662],0.16610478
146,[0.3198116],0.1892129
147,[0.3512891],0.22106163
148,[0.38262418],0.19277851
149,[0.36277184],0.22624119
150,[0.34835628],0.2698974
151,[0.35175368],0.280141
152,[0.34870228],0.24204566
153,[0.33666348],0.26953363
154,[0.29745495],0.24159543
155,[0.27156433],0.24420299
156,[0.2424675],0.3369907
157,[0.21719861],0.24307556
158,[0.18516879],0.21543665
159,[0.17376253],0.22348277
160,[0.16292897],0.24918078
161,[0.14847042],0.2561335
162,[0.12816411],0.25010043
163,[0.12674208],0.284028
164,[0.12617515],0.22192477
165,[0.11680587],0.2600634
166,[0.10689446],0.31256986
167,[0.10371318],0.27474892
168,[0.09261424],0.27142662
169,[0.09503618],0.26856488
170,[0.09384],0.24454312
171,[0.09061216],0.29445642
172,[0.08650474],0.2984398
173,[0.09121168],0.3412664
174,[0.093338],0.28979707
175,[0.07856228],0.27197176
176,[0.08291826],0.24602436
177,[0.07665351],0.23587306
178,[0.07957245],0.26938242
179,[0.08225139],0.21843104
180,[0.08321808],0.21325
181,[0.07984468],0.21116538
182,[0.07463814],0.24321385
183,[0.07838438],0.23126055
184,[0.07682261],0.25838566
185,[0.07651946],0.2294616
186,[0.07628448],0.22451262
187,[0.07397177],0.30216402
188,[0.07925575],0.26903433
189,[0.07696737],0.23984165
190,[0.07310768],0.24055652
191,[0.07494646],0.26039577
192,[0.07207778],0.23584189
193,[0.07459872],0.23448755
194,[0.07105014],0.2541675
195,[0.07101416],0.20101984
196,[0.07258551],0.27127093
197,[0.07520933],0.30163324
198,[0.07325716],0.22982205
199,[0.07449996],0.24776141
200,[0.07167852],0.2502007
201,[0.07504556],0.24476372
202,[0.0735606],0.25209516
203,[0.07348593],0.2658881
204,[0.07204951],0.24156155
205,[0.07513686],0.22189362
206,[0.06825408],0.28553748
207,[0.06574209],0.3442446
208,[0.06683836],0.3400548
209,[0.06916936],0.22006597
210,[0.06900231],0.21076961
211,[0.06677051],0.24951337
212,[0.07327844],0.23158093
213,[0.07122289],0.3076936
214,[0.07333259],0.25635803
215,[0.07030214],0.27271545
216,[0.07310212],0.26303083
217,[0.07221238],0.26092863
218,[0.07396057],0.27137393
219,[0.07010493],0.24602978
220,[0.07248672],0.24873881
221,[0.07178267],0.27603132
222,[0.06921837],0.20017193
223,[0.06995893],0.20244451
224,[0.06647784],0.20784284
225,[0.07048617],0.20142512
226,[0.06968452],0.21004988
227,[0.06960536],0.22046013
228,[0.06972465],0.19796042
229,[0.06850712],0.18799199
230,[0.06773901],0.171411
231,[0.06962877],0.14907496
232,[0.06886677],0.14843012
233,[0.06612412],0.13287114
234,[0.07037874],0.11866175
235,[0.07745604],0.11717892
236,[0.08382642],0.11501025
237,[0.09305464],0.09729545
238,[0.11205146],0.10990615
239,[0.10534175],0.08503145
240,[0.1059514],0.23029144
241,[0.13325322],0.034904793
242,[0.12609713],0.11125544
