,y_pred,y_true
0,[0.2513813],0.19645
1,[0.23435545],0.21488294
2,[0.21001919],0.2948028
3,[0.17941515],0.23502967
4,[0.1539212],0.2660718
5,[0.13272525],0.2534202
6,[0.11868709],0.28677455
7,[0.1122465],0.328196
8,[0.10978061],0.28036582
9,[0.11018282],0.27015936
10,[0.11477228],0.23716351
11,[0.11135941],0.200145
12,[0.10411154],0.2158722
13,[0.09712767],0.2586367
14,[0.09931892],0.20405057
15,[0.09614574],0.21637008
16,[0.09941363],0.2540152
17,[0.0993673],0.2443501
18,[0.09149869],0.32283843
19,[0.09293427],0.299822
20,[0.09556375],0.26287922
21,[0.09753186],0.3136937
22,[0.09780972],0.22736084
23,[0.09407413],0.2842058
24,[0.09575837],0.28810567
25,[0.09468707],0.27575687
26,[0.09356944],0.31141922
27,[0.09450439],0.31217882
28,[0.09231714],0.23670939
29,[0.09376073],0.283317
30,[0.09807399],0.2868611
31,[0.09542862],0.24193785
32,[0.09446746],0.28400493
33,[0.0970337],0.29131848
34,[0.09687225],0.27419096
35,[0.09627815],0.24438941
36,[0.09560227],0.22511396
37,[0.09210914],0.21282056
38,[0.08812729],0.25661612
39,[0.08842941],0.2614066
40,[0.0947534],0.24893966
41,[0.09372868],0.24184993
42,[0.08991216],0.28492418
43,[0.0938527],0.2921802
44,[0.09168385],0.27843478
45,[0.09588429],0.30014542
46,[0.09917429],0.24439177
47,[0.09612129],0.23178577
48,[0.09549645],0.22924545
49,[0.09184506],0.2306712
50,[0.09080517],0.22816724
51,[0.0880131],0.22704542
52,[0.09114982],0.2587828
53,[0.0906683],0.2579151
54,[0.09503345],0.25360626
55,[0.0989916],0.25193578
56,[0.09664968],0.25165546
57,[0.09488709],0.2412082
58,[0.09195127],0.21235758
59,[0.09362532],0.24760789
60,[0.09164917],0.22839049
61,[0.09059418],0.21483836
62,[0.0905062],0.18742651
63,[0.08707353],0.2779087
64,[0.09307652],0.25420028
65,[0.09403287],0.24870038
66,[0.09835031],0.3059974
67,[0.0971224],0.30821797
68,[0.09649009],0.29702184
69,[0.09863871],0.31513473
70,[0.10283332],0.3016694
71,[0.09990472],0.31498882
72,[0.10387269],0.31381053
73,[0.10217986],0.2420891
74,[0.0971086],0.25367796
75,[0.09625147],0.3312814
76,[0.09847785],0.2712753
77,[0.09562008],0.23747507
78,[0.09495972],0.21682194
79,[0.09134436],0.22684914
