,TimeStep,EnergyCost,QoS,Switching
0,0,0.14399999999999996,0.13420545516877141,0.0
1,3,0.14399999999999996,0.08245025185190513,0.0
2,6,0.14399999999999996,0.1037022051898604,0.0
3,9,0.14399999999999996,0.11820180002223388,0.0
4,12,0.14399999999999996,0.06423423080342153,0.0
5,15,0.14399999999999996,0.045800090082213626,0.0
6,18,0.14399999999999996,0.041854046566986415,0.0
7,21,0.14399999999999996,0.03403803492353871,0.0
8,24,0.14399999999999996,0.06578692455670772,0.0
9,27,0.14399999999999996,0.05188388258256962,0.0
10,30,0.14399999999999996,0.06764271701914729,0.0
11,33,0.14399999999999996,0.06464591220379542,0.0
12,36,0.14399999999999996,0.08701348983943595,0.0
13,39,0.14399999999999996,0.1272057050353549,0.0
14,42,0.14399999999999996,0.1918124409336599,0.0
15,45,0.14399999999999996,0.23200472826850832,0.0
16,48,0.14399999999999996,0.29593342669637956,0.0
17,51,0.14399999999999996,0.2846360739509172,0.0
18,54,0.14399999999999996,0.4810201149705208,0.0
19,57,0.14399999999999996,0.358483716321697,0.0
20,60,0.14399999999999996,0.3269096321393975,0.0
21,63,0.14399999999999996,0.3511632657059825,0.0
22,66,0.14399999999999996,0.34143675468450024,0.0
23,69,0.14399999999999996,0.3419336911588441,0.0
24,72,0.14399999999999996,0.2946729921402891,0.0
25,75,0.14399999999999996,0.3548537990846309,0.0
26,78,0.14399999999999996,0.4580295965815833,0.0
27,81,0.2982610422134399,0.5316057534553386,0.01
28,84,0.14399999999999996,0.41257566478843016,0.0
29,87,0.14399999999999996,0.6291586317035796,0.0
30,90,0.14399999999999996,0.33468544461090344,0.0
31,93,0.14399999999999996,0.23949173439427204,0.0
32,96,0.14399999999999996,0.3569094300243668,0.0
33,99,0.14399999999999996,0.347209296597263,0.0
34,102,0.14399999999999996,0.26511827357999584,0.0
35,105,0.14399999999999996,0.4879543769259639,0.0
36,108,0.14399999999999996,0.30374163235472895,0.0
37,111,0.14399999999999996,0.45243724512709377,0.0
38,114,0.14399999999999996,0.28834569827796824,0.0
39,117,0.14399999999999996,0.32630942442000477,0.0
40,120,0.14399999999999996,0.2996817631282819,0.0
41,123,0.14399999999999996,0.21096993936304806,0.0
42,126,0.14399999999999996,0.25199366796555767,0.0
43,129,0.14399999999999996,0.20200289531206655,0.0
44,132,0.14399999999999996,0.15875669454137398,0.0
45,135,0.14399999999999996,0.18037920417689166,0.0
46,138,0.14399999999999996,0.12665519204806985,0.0
47,141,0.14399999999999996,0.13076500695575297,0.0
48,144,0.14399999999999996,0.130967823652604,0.0
49,147,0.14399999999999996,0.1362641885172808,0.0
50,150,0.14399999999999996,0.10690916797314168,0.0
51,153,0.14399999999999996,0.0697599339382388,0.0
52,156,0.14399999999999996,0.06641434439068292,0.0
53,159,0.14399999999999996,0.039536418683803726,0.0
54,162,0.14399999999999996,0.033563257480974586,0.0
55,165,0.14399999999999996,0.050155096316894764,0.0
56,168,0.14399999999999996,0.02765312104603935,0.0
57,171,0.14399999999999996,0.03495960542392706,0.0
58,174,0.14399999999999996,0.04345980114907083,0.0
59,177,0.14399999999999996,0.02775700670015756,0.0
60,180,0.14399999999999996,0.11871047054981321,0.0
61,183,0.14399999999999996,0.1020733816357849,0.0
62,186,0.14399999999999996,0.18854840337705392,0.0
63,189,0.14399999999999996,0.16074780698507593,0.0
64,192,0.14399999999999996,0.19703652574393316,0.0
65,195,0.14399999999999996,0.2754008911906026,0.0
66,198,0.14399999999999996,0.23430822477543906,0.0
67,201,0.14399999999999996,0.2610711939280045,0.0
68,204,0.14399999999999996,0.2274743006928232,0.0
69,207,0.14399999999999996,0.23132033710033198,0.0
70,210,0.14399999999999996,0.20394792101268103,0.0
71,213,0.14399999999999996,0.3768803834093317,0.0
72,216,0.14399999999999996,0.27981320447685193,0.0
73,219,0.14399999999999996,0.31807820671269676,0.0
74,222,0.14399999999999996,0.30037542509628784,0.0
75,225,0.14399999999999996,0.4131852729773165,0.0
76,228,0.14399999999999996,0.27028888453734534,0.0
77,231,0.14399999999999996,0.34411822315325996,0.0
78,234,0.14399999999999996,0.29613264583426974,0.0
79,237,0.14399999999999996,0.3660888838610558,0.0
80,240,0.14399999999999996,0.2941701910733018,0.0
81,243,0.30825329990386957,0.4166868343610717,0.01
82,246,0.14399999999999996,0.44568464988876266,0.0
83,249,0.14399999999999996,0.41725239774581374,0.0
84,252,0.14399999999999996,0.4995032540738946,0.0
85,255,0.14399999999999996,0.43647894631024453,0.0
86,258,0.14399999999999996,0.29138553792348454,0.0
87,261,0.14399999999999996,0.43932262968469366,0.0
88,264,0.14399999999999996,0.5511172844864954,0.0
89,267,0.2954814874649048,0.7829930822399632,0.01
90,270,0.14399999999999996,0.45431046055855484,0.0
91,273,0.14399999999999996,0.296187817210748,0.0
92,276,0.14399999999999996,0.22406484982372757,0.0
93,279,0.14399999999999996,0.2934748113292186,0.0
94,282,0.14399999999999996,0.16660364802470776,0.0
95,285,0.14399999999999996,0.17159882124885345,0.0
96,288,0.14399999999999996,0.12786102606667094,0.0
97,291,0.14399999999999996,0.1745532532124374,0.0
98,294,0.14399999999999996,0.09295838251481044,0.0
99,297,0.14399999999999996,0.05446223553806893,0.0
100,300,0.14399999999999996,0.08317632663676577,0.0
101,303,0.14399999999999996,0.06667752535038797,0.0
102,306,0.14399999999999996,0.04838455496450873,0.0
103,309,0.14399999999999996,0.042631468116490934,0.0
104,312,0.14399999999999996,0.005467922033644041,0.0
105,315,0.14399999999999996,0.02172885187926741,0.0
106,318,0.14399999999999996,0.055428154388024196,0.0
