,TimeStep,EnergyCost,QoS,Switching
0,0,0.26457062002658843,0.10801442161318858,0.01
1,3,0.2789836965858936,0.09472754868959089,0.01
2,6,0.18925205470561982,0.14300145321103166,0.0
3,9,0.2431801679635048,0.09171700076172568,0.006000000000000001
4,12,0.23596298494935034,0.06337540623360617,0.008
5,15,0.2162391829651594,0.0536242988531858,0.008
6,18,0.23399556619405748,0.047817750052083594,0.01
7,21,0.19686234967231747,0.04429069358688514,0.006000000000000001
8,24,0.14400000000000002,0.05573849243778841,0.0
9,27,0.19725493453145027,0.06893959382065487,0.006000000000000001
10,30,0.21501943629205225,0.07476857305973192,0.006000000000000001
11,33,0.21572760688662526,0.07046889789695326,0.008
12,36,0.235084548869133,0.10020491143312021,0.01
13,39,0.19907957602858545,0.10259078162445402,0.006000000000000001
14,42,0.20230113364219662,0.1210170920970597,0.006000000000000001
15,45,0.22467268184423447,0.15810119283313612,0.006000000000000001
16,48,0.2630057294440269,0.19289558199348092,0.01
17,51,0.20658082016944884,0.2050276579558217,0.002
18,54,0.25272427358865734,0.2774756647443109,0.006000000000000001
19,57,0.2974311957049369,0.25890692761609496,0.01
20,60,0.30119770003080365,0.23877213034239497,0.008
21,63,0.30190151197671894,0.24386698412178595,0.002
22,66,0.40054971915721893,0.2943972861894998,0.01
23,69,0.5834811550927163,0.26073951786864347,0.014000000000000002
24,72,0.6394800818145275,0.20391095063871922,0.012000000000000002
25,75,0.5243237778139114,0.19648704117587498,0.004
26,78,0.588842280292511,0.2050144543675117,0.006000000000000001
27,81,0.5431646699953079,0.253102973182963,0.006000000000000001
28,84,0.595285253648758,0.18277853018851847,0.01
29,87,0.5745794250297546,0.17077448928374006,0.006000000000000001
30,90,0.5295982818531989,0.18807154533306294,0.01
31,93,0.40160191902637477,0.18991990784867904,0.004
32,96,0.45871928233623505,0.17976480161621974,0.008
33,99,0.42849150534152974,0.1891829744388322,0.002
34,102,0.34994518615722653,0.17346111405378933,0.002
35,105,0.36761170341610905,0.2165956573996106,0.008
36,108,0.36922462125778194,0.2081534334180828,0.004
37,111,0.31401036892890927,0.24202860395590414,0.002
38,114,0.34089444109082223,0.22013376133875012,0.006000000000000001
39,117,0.3226056757164002,0.19077788812755558,0.006000000000000001
40,120,0.4198397575306892,0.18885078499544655,0.014000000000000002
41,123,0.3531431807112693,0.1573848286308438,0.008
42,126,0.25567185523509983,0.21941548070613323,0.0
43,129,0.24958007145166394,0.1952353307337207,0.002
44,132,0.2336707516622543,0.14269285525960076,0.004
45,135,0.34072592403173446,0.13255354766269808,0.014000000000000002
46,138,0.23172270535469053,0.1317022450516189,0.002
47,141,0.18560976995944978,0.09996996348878648,0.0
48,144,0.20169905174195765,0.10109532259074454,0.002
49,147,0.18375361973762513,0.09665885398610566,0.0
50,150,0.25377077786922453,0.07194118612282628,0.008
51,153,0.18072559956550596,0.05490671538824933,0.002
52,156,0.23031104611873626,0.051349835131290336,0.008
53,159,0.24870197475314135,0.03907568325922878,0.01
54,162,0.1779648397421837,0.0346978912939827,0.004
55,165,0.21167620155930522,0.04392361290729776,0.008
56,168,0.21338144112110138,0.033303885595605626,0.008
57,171,0.19439415178656574,0.0403699870473881,0.004
58,174,0.19472922270298,0.03663947224014699,0.004
59,177,0.2656600250762701,0.04185340473137969,0.012000000000000002
60,180,0.1610838795018196,0.05851785309653879,0.0
61,183,0.21577511803507804,0.083753451645576,0.006000000000000001
62,186,0.23792316782355308,0.07123755631734668,0.008
63,189,0.18109863102436066,0.1349388204644767,0.002
64,192,0.24849970497608184,0.23341595896796286,0.008
65,195,0.20706446133613585,0.21290082068973717,0.004
66,198,0.18276107125282287,0.19894119647378058,0.002
67,201,0.1871679968726635,0.26912583494421094,0.004
68,204,0.24584713005781172,0.22760398778035415,0.01
69,207,0.2555296833086014,0.24324157468695357,0.002
70,210,0.2573420615530014,0.27691339767135575,0.004
71,213,0.3601373039102554,0.3008167276642807,0.008
72,216,0.3237384460115432,0.16002338984841605,0.002
73,219,0.3327278530883789,0.24785393985525075,0.006000000000000001
74,222,0.43755407197237006,0.16857023741291305,0.01
75,225,0.356457126045227,0.2909788539841622,0.002
76,228,0.33013946843147274,0.19764187257992458,0.002
77,231,0.4056289772558212,0.2072218882051762,0.008
78,234,0.4529910788869857,0.17909950478369285,0.01
79,237,0.4402367356109619,0.186007879410846,0.006000000000000001
80,240,0.450414238114357,0.20145497991628558,0.004
81,243,0.6700450924444199,0.2287539859558574,0.014000000000000002
82,246,0.5479047911274433,0.19447632851514032,0.004
83,249,0.5468460942506791,0.1817429031712485,0.004
84,252,0.5524827541065216,0.1660327632205378,0.0
85,255,0.5593036168313027,0.16494878388955708,0.004
86,258,0.5689929449379444,0.13897997927547923,0.01
87,261,0.6036433307039737,0.1728471825877907,0.008
88,264,0.6462159306621551,0.21202397723691366,0.008
89,267,0.6275391825520993,0.15327941315955548,0.004
90,270,0.482144670882225,0.16211621749112,0.002
91,273,0.4585607200098037,0.14570959218185656,0.008
92,276,0.34425420686244956,0.15422560610542502,0.004
93,279,0.3562630832576752,0.1448990564342534,0.008
94,282,0.24227863204479216,0.14946362397011165,0.006000000000000001
95,285,0.2479683838748932,0.13572154333190606,0.006000000000000001
96,288,0.22134579883933064,0.11957163390760397,0.004
97,291,0.24023098960876463,0.09353533120050432,0.008
98,294,0.14400000000000002,0.08609598352118074,0.0
99,297,0.198812331032753,0.09225846185258117,0.006000000000000001
100,300,0.20252632995843886,0.0918276185143234,0.006000000000000001
101,303,0.2188831536090374,0.06634742110095482,0.008
102,306,0.1975076318693161,0.06079899287047485,0.004
103,309,0.25081815629839893,0.05670928974745161,0.01
104,312,0.1769681278038025,0.05051563805598166,0.004
105,315,0.21270835489869117,0.05470325872399293,0.006000000000000001
106,318,0.14400000000000002,0.06479389521021359,0.0
107,321,0.21440128196239472,0.0831406220522177,0.008
108,324,0.20152500440597534,0.06996944676548292,0.006000000000000001
109,327,0.204814711124897,0.08923263499900454,0.004
110,330,0.24415433450818064,0.09990244033562476,0.008
111,333,0.3017551241397857,0.10797532765686979,0.012000000000000002
112,336,0.3256716297554969,0.12378965260955108,0.01
113,339,0.33689130051076405,0.16063796682948947,0.008
114,342,0.382985402598381,0.1573194613920671,0.012
115,345,0.302755443470478,0.17216188502538693,0.004
116,348,0.3629239739370346,0.27757154261968586,0.006000000000000001
117,351,0.3999657723426819,0.185312202282525,0.006000000000000001
118,354,0.4464001097846031,0.17510554872304226,0.008
119,357,0.39981118247509007,0.18936567741527063,0.002
120,360,0.4098173705899715,0.17761708581741317,0.006000000000000001
121,363,0.4148527443408966,0.17598512968142593,0.006000000000000001
122,366,0.38565014684200283,0.20002156290366904,0.002
123,369,0.4370230657768249,0.23010289130193282,0.004
124,372,0.4482807153725624,0.2584678875143727,0.002
125,375,0.4369725167691707,0.22058576341031003,0.004
126,378,0.503974102435112,0.1661482080780175,0.01
127,381,0.4355865824890137,0.36804151833571025,0.002
128,384,0.4395582662200928,0.27976973888745216,0.006000000000000001
129,387,0.36161231360435486,0.2546934766190888,0.0
130,390,0.3992069467663765,0.2419044316284987,0.006000000000000001
131,393,0.4213644127500057,0.25346593066290074,0.004
132,396,0.4363874932193756,0.26985789923432657,0.008
133,399,0.4826268509101867,0.22059197144738263,0.006000000000000001
134,402,0.5075146733808517,0.1922469300510943,0.01
135,405,0.42368901967048644,0.2500623276560534,0.002
136,408,0.40804745760798444,0.24317238434023405,0.004
137,411,0.4105249267530442,0.22119439071210356,0.004
138,414,0.44622278594255443,0.16809906915164397,0.006000000000000001
139,417,0.431184959192276,0.16335635462623838,0.006000000000000001
140,420,0.3068106043839455,0.1831164821706767,0.006000000000000001
141,423,0.26200713684082033,0.20609330461295994,0.0
142,426,0.24876890298485752,0.16654074150288675,0.006000000000000001
143,429,0.20815742844343185,0.11007058585924502,0.004
144,432,0.2808155796611309,0.0849822288673627,0.012000000000000002
145,435,0.32086461399435995,0.07908427854285895,0.013999999999999999
146,438,0.28022757005631926,0.06740069150974383,0.01
147,441,0.331739104412198,0.059544383795645715,0.013999999999999999
148,444,0.2624968541353941,0.06142502715793592,0.004
149,447,0.2221878019487858,0.06047264147557584,0.004
150,450,0.2627862970072031,0.05550513935359147,0.008
151,453,0.3139105231440067,0.04800041310710321,0.014000000000000002
152,456,0.20424560840606687,0.05946730688617197,0.004
153,459,0.25848491724818945,0.0698135338932861,0.01
154,462,0.2743956334090233,0.08728077936166137,0.012
155,465,0.2287811845564842,0.11002391343398213,0.004
156,468,0.31977106398224825,0.1598447310371811,0.012000000000000002
157,471,0.2988040950536728,0.15336952750341276,0.002
158,474,0.25174662983894347,0.1858697522195634,0.004
159,477,0.2765533020687103,0.2191947338665399,0.004
160,480,0.2895496388411522,0.16769561928449694,0.006000000000000001
161,483,0.3123788386344909,0.17861467160492991,0.01
162,486,0.3111681608319282,0.19070442187571565,0.008
163,489,0.28581805005311967,0.18336539432180834,0.008
164,492,0.25645236441135405,0.3228482194174692,0.006000000000000001
165,495,0.2741620807600021,0.22711135141180563,0.01
166,498,0.5141508593058586,0.09759426886888684,0.02
167,501,0.4737869624447822,0.14528483867487568,0.004
168,504,0.38960424179792397,0.1740231071667223,0.006000000000000001
169,507,0.3675568921995162,0.19308639844200506,0.006000000000000001
170,510,0.39490032887220367,0.1534553229211276,0.006000000000000001
171,513,0.4171981552290916,0.17680907919353558,0.004
172,516,0.35441527215957636,0.2292064023056034,0.002
173,519,0.33484626817703245,0.24333877108372337,0.0
174,522,0.4594699421882629,0.1932730218592752,0.012000000000000002
175,525,0.4218163459181785,0.19547106475574288,0.002
176,528,0.5075150161457062,0.28842863093033855,0.008
177,531,0.5503327527809142,0.23915540624976916,0.008
178,534,0.5486536232757567,0.22524502903069096,0.006000000000000001
179,537,0.6534735082912445,0.23122583996912482,0.008
180,540,0.5222508085155486,0.30026947540004373,0.002
181,543,0.4775551039838791,0.24258118397388656,0.004
182,546,0.5400802915048598,0.1825288415549931,0.012000000000000002
183,549,0.5794630064105988,0.21871651478609966,0.01
184,552,0.6474321321773528,0.26645829072368854,0.008
185,555,0.6601685920000077,0.19657468465159764,0.012000000000000002
186,558,0.5086201318645477,0.3350952286699285,0.0
187,561,0.575926160223484,0.19305618570791996,0.012000000000000002
188,564,0.5452800403189659,0.14296673996860984,0.006000000000000001
189,567,0.38815362361907957,0.18671227279639524,0.002
190,570,0.30753724876999855,0.13243946498150563,0.01
